AhriOrbofDeception, Ahri Q
TwitchExpunge, Twitch E
TwitchFullAutomatic, Twitch R
XerathArcanopulseChargeUp, Xerath Q
XerathArcaneBarrage2, Xerath W
XerathMageSpear, Xerath E
XerathLocusOfPower2, Xerath R
ViktorPowerTransfer, Viktor Q
ViktorGravitonField, Viktor W
ViktorDeathRay, Viktor E
ViktorChaosStorm, Viktor R
RekSaiRWrapper, RekSai R
TaliyahWVC, Taliyah W
VayneTumble, Vayne Q
VayneSilveredBolts, Vayne W
VayneCondemn, Vayne E
VayneInquisition, Vayne R
TahmKenchRWrapper, TahmKench R
PowerBall, Rammus Q
PuncturingTaunt, Rammus E
Tremors2, Rammus R
VeigarBalefulStrike, Veigar Q
VeigarDarkMatter, Veigar W
VeigarEventHorizon, Veigar E
VladimirSanguinePool, Vladimir W
VladimirHemoplague, Vladimir R
ChronoShift, Zilean R
MonkeyKingDoubleAttack, Wukong Q
MonkeyKingDecoy, Wukong W
MonkeyKingNimbus, Wukong E
MonkeyKingSpinToWin, Wukong R
YasuoQ1Wrapper, Yasuo Q
RyzeQWrapper, Ryze Q
UdyrTigerStance, Udyr Q
UdyrTurtleStance, Udyr W
UdyrBearStance, Udyr E
UdyrPhoenixStance, Udyr R
